count_0,count_1
-7.5186224,14.480612
-6.803728,12.751419
-6.7254467,14.360598
-6.6857085,13.998436
-8.035767,12.685239
-6.568891,14.71355
-7.358844,14.8202305
-8.58384,14.177441
-8.437293,14.136846
-6.452778,13.920422
-6.6289387,13.261877
-7.333376,13.034009
-6.572224,14.894958
-6.823079,13.206015
-6.9892282,12.914947
-7.208136,12.855232
-6.862068,13.051167
-6.545187,14.089116
-8.027679,12.652368
-7.307577,13.910565
-7.056239,13.103091
-7.0129,13.218687
-6.528295,14.172361
-6.742766,14.24146
-7.2156997,13.85345
-7.0513153,13.303567
-6.9231863,13.876593
-6.5675607,14.64027
-6.6441813,14.97476
-7.1767516,12.724448
-6.2948227,14.176251
-7.2856016,14.692616
-8.4819765,14.245988
-6.7426834,13.834141
-7.442539,13.883098
-8.443123,14.113799
-7.6817265,14.281737
-6.9113245,15.013812
-7.9065685,14.612408
-6.871733,13.106181
-6.52065,13.630298
-6.6380763,13.638841
-8.687128,14.455416
-7.8797297,14.028345
-6.6240306,14.144327
-6.9278193,13.167166
-6.794938,13.493073
-7.0058455,13.125127
-6.580194,12.8413105
-8.432833,14.206396
-6.9871273,13.195908
-7.0372953,13.129943
-7.15163,13.901731
-8.05194,13.994287
-8.439667,14.083892
-8.526133,13.981546
-7.4819555,13.950091
-7.4263225,13.881102
-7.68584,13.846561
-7.0196543,13.139774
-6.6858306,12.875383
-7.880428,13.784199
-7.89306,14.453432
-7.9895687,14.041295
-6.433309,14.813089
-6.94301,14.253897
-6.914178,13.975511
-8.18083,12.367439
-8.033178,12.505389
-7.5516267,13.199668
-6.717109,13.982001
-7.0997853,12.927629
-7.352325,12.614758
-6.613824,13.80118
-7.3928165,14.435719
-7.57058,13.186366
-7.556525,13.629713
-6.6857038,14.461439
-8.048774,13.803332
-6.663022,14.089485
-7.4139,14.428292
-8.033365,12.592286
-7.8452096,12.528463
-8.366216,13.935629
-7.0336637,14.731193
-6.8114824,14.437801
-7.9311843,13.444546
-8.3253975,13.0721655
-6.932978,14.959887
-7.6450176,12.36506
-6.9581304,14.806968
-6.601024,14.79296
-7.9860854,13.06801
-6.586297,14.327264
-7.859376,12.777017
-7.6972375,12.336299
-8.287348,14.183167
-6.6601434,15.210506
-6.598736,14.475752
-7.38889,13.605622
-7.669295,12.24741
-17.362032,15.121503
-6.6006255,14.6485
-8.14471,12.924496
-6.9034405,14.391296
-6.332471,13.961045
-8.352615,13.975478
-7.8191085,12.950652
-6.9962564,14.887548
-7.6032505,12.466379
-6.9722705,14.921858
-7.154222,13.035285
-6.52484,13.472818
-6.7748685,14.523344
-6.3772755,13.87585
-6.9611635,12.964313
-6.9834766,14.685013
-7.7131715,12.611346
-7.614507,12.254959
-7.11731,13.789074
-7.5533214,12.624557
-7.8643613,12.964376
-6.6182904,14.904067
-6.768569,14.549181
-7.978381,14.054086
-6.626024,14.732379
-6.596438,13.197642
-7.3646016,14.735035
-6.822789,14.595426
-8.335654,14.638206
-6.898617,14.690538
-6.683179,13.783892
-7.06247,14.626873
-8.105867,12.91605
-7.187143,12.7586155
-6.649093,15.087812
-7.2935205,14.169172
-7.560347,12.130211
-7.1349673,13.132854
-6.6024737,14.563113
-6.6459017,15.166309
-7.060841,13.485739
-6.9927464,14.757034
-6.8721733,14.007292
-6.652513,14.356486
-6.751404,15.0862465
-6.6009264,15.097193
-6.230179,13.412014
-8.648954,14.412895
-6.905519,14.892434
-7.755281,12.518561
-6.923013,13.478843
-6.819747,14.5937195
-8.17422,13.025957
-7.73853,12.66916
-7.0594783,14.912823
-6.7260866,15.023039
-7.9495287,13.962626
-6.806194,14.548602
-7.070864,13.87239
-7.9114046,12.597774
-8.101151,12.670114
-6.8915706,13.684395
-7.266439,14.266155
-7.9227676,12.734859
-6.275632,14.539463
-7.006953,14.544963
-6.837962,13.698975
-6.553185,14.847292
-8.065378,12.709784
-7.4240375,13.404863
-8.165939,13.843594
-7.186675,14.759024
-6.354327,13.769643
-7.7965417,13.174619
-18.062445,13.774897
-6.977206,14.603894
-6.933964,14.809011
-6.769441,13.581218
-8.162456,12.926404
-7.622119,12.527268
-6.903985,13.825109
-6.8640294,13.839229
-6.590416,14.443019
-6.508822,13.955004
-7.2605515,14.291469
-8.159486,12.704291
-6.3652077,12.993114
-7.7323213,13.442156
-7.144414,14.551269
-8.288571,13.2740555
-7.9081264,13.741222
-7.8877892,12.4977455
-6.692485,13.644027
-7.2399216,14.524983
-7.3524895,14.07016
-7.067016,13.605801
-6.531799,13.344907
-6.981141,15.110622
-6.6021767,14.862524
-6.505295,14.319689
-8.506893,14.431766
-6.606107,14.81326
-7.539497,14.490273
-6.5367994,14.596629
-7.7439027,12.498312
-8.175012,14.61378
-6.797601,14.930013
-7.573854,13.603519
-8.333456,14.167931
-6.2634225,13.764799
-6.671363,13.585123
-7.7924266,13.793403
-6.8892846,15.003632
-7.7075434,12.569982
-7.562509,12.167332
-8.074739,14.064306
-7.7637196,13.424471
-8.3481455,14.015407
-8.263183,12.85855
-8.687766,14.346427
-6.748093,15.047478
-6.6404324,14.227385
-6.789816,14.839725
-6.5279713,14.222428
-6.827414,15.088925
-8.117921,12.495102
-6.4435844,13.603939
-6.8507223,14.91924
-6.8857503,13.879565
-6.8590984,15.227731
-6.7110004,15.066884
-7.1617274,13.591032
-6.6426544,13.772752
-8.22691,13.442212
-6.429887,13.738241
-7.715136,14.277022
-8.057635,13.546812
-6.6820807,14.755178
-7.5427556,13.304173
-7.509429,12.363322
-7.4952254,14.747157
-6.6036987,14.96435
-6.5859666,14.701494
-6.6473765,13.552429
-7.169193,13.152043
-7.7551446,12.17243
-8.03337,12.72885
-8.161675,12.403315
-7.818672,14.276433
-6.6495047,14.818677
-6.738073,14.317169
-6.4194646,13.463897
-6.6474795,13.7931185
-6.2821765,13.336757
-7.1943126,12.825004
-6.749647,14.718199
-6.9108715,14.825911
-6.884841,14.957261
-8.229244,13.188279
-6.9641085,14.754396
-6.8722095,13.616172
-7.3311734,12.627594
-7.0975065,14.010998
-6.754609,14.979779
-6.8130007,13.63566
-7.7433558,13.937917
-14.478136,-0.1173421
-6.9692698,13.42607
-6.6194916,14.760166
-6.516856,14.763926
-7.762057,13.810836
-7.9730096,12.52639
-6.5505314,14.799155
-7.9789753,12.553218
-6.420813,13.490661
-7.6253157,12.686955
7.6891637,7.769323
-6.7560053,14.466014
-8.186688,12.712225
-8.047303,12.69686
-7.9515243,12.525083
-8.421257,13.480321
-7.0873547,13.026865
-7.203031,14.895079
-6.436946,13.900162
-6.915573,13.316911
