count_0,count_1
-5.391972,-19.14479
-5.775672,-17.055843
-5.409966,-18.993534
-5.966744,-17.50551
-5.0574093,-17.819647
-4.376007,-18.101137
-5.52374,-18.658667
-4.462762,-16.934494
-5.073287,-18.057938
-5.4184976,-16.850641
-14.41285,-0.9737071
-4.831169,-18.206224
-5.536051,-17.583315
-4.827688,-16.73205
-4.7457833,-18.628586
-4.5731196,-17.894697
-5.110691,-17.089571
-5.213672,-19.16706
-4.311444,-16.327192
-5.5029225,-18.614653
-4.7838864,-18.464785
-5.458278,-17.775774
-4.69847,-17.674213
-4.837693,-17.704845
-4.765426,-18.433067
-4.954011,-16.44708
-5.8343577,-17.12919
-5.4140115,-19.213839
-5.492674,-18.208109
-10.031658,-2.7437012
-4.68583,-17.07174
-5.422155,-18.861328
-5.2599382,-19.078299
-5.2671175,-18.11477
-4.8377123,-18.071537
-4.9647713,-18.158463
-4.755947,-18.452192
-4.9428744,-18.808855
-4.987274,-18.84268
-4.618396,-17.372486
-5.6787424,-17.214052
-4.8131366,-18.564592
-5.256938,-17.051018
-5.3008223,-16.84041
-5.335735,-18.588438
-5.634249,-17.1885
-4.869545,-16.264328
-4.8152547,-18.522516
-4.9212074,-18.829256
-4.942098,-17.0228
-4.9029098,-18.004517
-4.872912,-17.973438
-13.34616,-0.9387622
-5.019336,-16.226395
-5.0138025,-17.884792
-4.3076124,-17.307827
-15.183235,-0.19545402
-5.599865,-19.135727
-4.6856036,-18.031666
-4.398089,-16.541721
-4.6217184,-18.28394
-5.1612616,-16.277506
-4.5574393,-16.390503
-4.5116687,-15.962903
-4.7786083,-18.334011
-5.0097733,-17.85935
-4.08153,-15.634666
-17.859493,3.623481
-4.705933,-18.062515
-4.719818,-18.140965
-4.553634,-17.645391
-5.4052334,-16.615685
-5.3460093,-16.612606
-4.592839,-16.68644
-4.7504897,-17.484438
-4.7848835,-18.272602
-4.711956,-17.163673
-4.7647905,-17.296825
-4.6104827,-15.900171
-4.4289227,-16.427107
-4.5386376,-16.05428
-4.324426,-16.95172
-4.6810074,-16.072756
-4.820513,-17.034893
-4.6261663,-15.905169
-4.634962,-17.004747
-4.7487884,-18.162981
-4.089234,-16.877773
-4.8153086,-16.398865
-4.5592422,-16.956808
-4.780768,-18.405909
-4.7542543,-18.348974
-4.612653,-17.979763
-5.4806914,-17.346687
-4.514867,-17.99277
-5.3590393,-17.873081
-4.6402025,-18.19082
-11.095163,3.2045374
-5.228664,-18.097233
-4.745599,-18.2223
-4.2534127,-16.533545
-4.742388,-16.686914
-5.2188954,-18.307247
-5.0486126,-17.328707
-4.262663,-16.227453
-4.766899,-18.240553
-5.0803804,-16.830673
-11.122447,-3.1230366
-4.2234774,-16.120092
-4.2480893,-15.860129
-4.971385,-16.476797
-4.729071,-15.940804
-5.108626,-16.628197
-4.7704964,-18.594944
-4.267016,-17.80283
-4.5303206,-18.0285
-4.775603,-18.323965
-4.955634,-18.824362
-5.0867643,-16.477388
-4.708319,-17.371662
-4.871653,-18.663996
-4.236743,-16.668663
-4.9633193,-18.638853
-4.727923,-18.560513
-4.703113,-16.216265
-4.457539,-17.127518
-5.200399,-16.665527
-4.461855,-16.861311
-4.6590962,-17.409891
-4.6365185,-16.309256
-4.533879,-18.156778
-4.3604555,-16.204433
-3.8281815,-15.455285
-4.477993,-17.160322
-4.4077606,-17.84371
-4.4732914,-18.024515
-4.4620724,-17.152206
-4.1945205,-16.018103
-12.216358,-3.5268118
-5.0279326,-16.45495
-11.766796,4.470739
-4.879049,-17.22791
-4.8861156,-18.39777
-4.3380694,-17.834362
-4.5574226,-16.920462
-4.559789,-17.707342
-4.5850854,-16.54451
-6.1349916,-17.14416
-5.5720553,-19.400106
-5.4838314,-19.145128
-5.5682225,-19.4945
-6.1665044,-17.304596
-5.497639,-19.015312
-5.6847277,-18.589249
-6.0461955,-17.378714
-5.049782,-18.42236
-5.454843,-19.311424
-6.01994,-17.294392
-5.2993875,-18.134586
-16.904888,2.9415965
-5.5058236,-18.624817
-5.5686636,-19.28547
-5.450561,-19.040964
-5.3575945,-17.663143
-5.728984,-16.697903
-5.526378,-19.241764
-5.1133924,-16.903057
-5.101349,-18.066208
-5.561304,-16.826162
10.889778,5.4154344
-4.892313,-17.87402
-6.1112595,-16.90429
-5.2833567,-17.401304
-6.243123,-17.136856
-5.8216615,-17.046621
-5.2797155,-17.868305
-5.48352,-18.566837
-5.3624983,-18.54491
-4.481299,-16.508202
-5.359736,-18.93707
-5.1628404,-18.0267
-5.4148183,-18.218641
-5.1941032,-18.191847
-4.8720694,-16.3241
-5.7981906,-16.978857
-5.4684243,-18.905634
-5.300733,-18.150806
-12.240298,5.1105766
-5.4553075,-18.655329
-5.487437,-16.572365
-5.290065,-16.767551
-5.3707385,-18.86109
-4.9115887,-18.70868
-4.9285984,-17.252197
-5.13135,-16.829641
-17.89043,3.8474107
