data_0,data_1
10.85547,5.0600505
12.800434,-8.912968
12.8002405,-8.854992
13.258348,-10.01686
12.697398,-9.124237
12.6084385,-8.604684
12.943197,-9.971429
13.33684,-10.131882
12.657035,-8.907748
12.721848,-9.077301
13.237076,-10.290461
13.204715,-9.2620125
12.9100065,-10.136052
13.29954,-10.1931715
12.684859,-8.600129
13.091844,-8.789506
14.875722,-9.80209
13.879132,-11.823336
13.565882,-10.964729
13.616039,-9.618607
14.673486,-9.433086
13.739698,-11.5902195
13.473274,-8.992223
13.853079,-11.491227
13.666538,-11.234074
14.133196,-9.650568
13.603936,-11.215447
13.403467,-9.321428
12.744906,-9.021208
14.42406,-10.102459
13.823424,-11.6407585
13.331329,-11.169272
13.725129,-11.277737
13.353214,-8.783711
0.0091866385,-4.3391848
13.573864,-11.597107
13.901769,-8.9600725
13.803703,-11.574417
12.98057,-11.36565
14.27471,-9.689177
13.96556,-9.427337
13.721831,-11.312104
4.564154,6.8660316
13.656313,-11.5088825
13.161076,-9.969122
12.845219,-10.774744
13.641614,-11.283204
12.707818,-11.202865
12.8847275,-9.686418
13.394059,-10.364178
12.80888,-9.1579895
7.942019,11.559819
13.674293,-11.222472
12.75162,-9.37815
13.014624,-9.368173
13.701312,-11.310578
13.731735,-11.397453
13.675424,-10.227592
13.731994,-11.387023
12.380274,-10.230978
13.751693,-11.101883
13.679277,-10.9963665
14.258198,-10.2406645
13.751592,-10.905058
13.497555,-11.161655
13.858496,-10.924762
13.441053,-9.056055
13.095508,-9.48324
13.933596,-11.854837
14.305292,-10.36175
12.7368145,-8.725775
13.897574,-9.208122
13.673845,-11.508694
13.946027,-11.800938
13.459364,-10.568723
13.581392,-10.570295
13.268472,-10.273548
13.738209,-11.086919
13.950919,-11.869573
13.767452,-11.441304
12.942706,-10.103429
14.774687,-9.669036
13.674207,-11.211332
12.984744,-8.8958
13.6959915,-9.8352375
13.560243,-10.8909025
13.721708,-9.187759
13.1905155,-8.690968
13.825629,-10.992981
13.833796,-11.37861
13.360458,-9.665427
13.682306,-11.383398
13.361528,-10.540683
13.003408,-9.045732
13.25016,-8.814467
13.112521,-10.134957
13.583675,-10.919338
13.615779,-8.76739
13.505867,-11.595536
13.658143,-10.837576
12.766334,-9.924401
13.798946,-11.352404
12.883907,-9.172415
13.309246,-9.540489
13.976351,-9.314755
13.789275,-11.566448
13.042813,-10.7829275
-2.2187035,-4.67954
15.060081,11.085877
13.678672,-11.25176
13.469941,-10.953682
13.4332075,-10.478517
13.360433,-8.664831
12.81304,-8.619083
12.892527,-10.037826
13.386449,-11.014717
13.595438,-11.183467
13.271918,-10.065323
13.38281,-10.315497
13.639454,-8.846078
12.580948,-9.996437
13.292109,-9.305071
13.3383045,-10.179399
14.364577,-9.1721
13.171414,-9.135281
12.99896,-8.749624
12.485248,-10.631328
13.673547,-10.95985
13.526107,-10.182456
13.183186,-9.58684
12.691274,-10.246488
13.749093,-11.372529
13.461871,-10.980989
13.505346,-11.039864
14.364963,-9.712841
13.5494375,-10.988582
13.788243,-10.832116
13.696874,-11.355497
12.48265,-8.9688835
14.857442,-9.873013
13.693558,-11.328147
13.08332,-9.638471
14.092562,-9.968761
13.192816,-11.122681
12.557329,-10.990809
12.408182,-10.575323
13.706636,-11.454459
12.884646,-8.83646
4.6702437,8.326901
13.933297,-9.327088
13.09663,-9.227443
13.947413,-9.6051
13.113118,-8.822427
14.543071,-9.7244215
13.616473,-11.220902
13.694705,-11.36127
13.546966,-10.870348
13.690709,-11.321896
13.801415,-11.460968
13.035397,-8.7298155
12.977113,-10.32239
13.88445,-11.471944
13.162966,-10.011701
13.891453,-11.521894
13.764498,-11.563958
12.467612,-10.081349
13.047765,-10.2209015
14.246041,-9.491689
13.718019,-11.502533
13.455705,-10.645863
13.936343,-9.436903
13.730372,-11.315071
12.970842,-9.284876
12.636218,-8.688566
13.46017,-10.660115
13.684271,-11.422163
13.7637825,-11.407039
12.877364,-10.081982
12.512995,-9.796508
5.137966,8.5892315
13.321124,-9.034109
13.138795,-8.392641
13.558758,-10.367635
13.843819,-11.757721
13.677502,-11.353349
13.148343,-10.006423
13.284786,-10.487748
12.391299,-10.699317
13.029982,-10.619261
13.79323,-11.592189
13.915879,-11.783008
13.9006195,-11.599434
13.918447,-9.331747
13.670787,-11.49027
12.989177,-10.956027
13.049515,-9.102138
13.491519,-10.858859
13.751499,-11.568405
12.982354,-9.38508
13.00685,-11.166182
13.247143,10.097971
13.399311,-10.882232
12.768197,-12.298446
13.643659,-11.498679
14.050278,-10.0223
13.381339,-9.008057
13.753186,-11.554513
13.104621,-8.751721
13.173283,-10.776785
13.086074,-9.07269
-5.6011753,-10.037207
13.47319,-10.755192
13.750146,-8.885386
13.204274,-8.777609
13.3746805,-8.8241415
14.015098,-9.315642
12.5098715,-11.052701
13.795653,-11.377644
13.163942,-11.000475
13.1622305,-9.636364
13.435493,-11.673086
14.18613,-9.927516
13.333306,-10.862266
12.954416,-11.048732
14.096947,-9.416552
13.376783,-9.164418
13.223418,-11.405943
13.6968355,-10.696734
12.923825,-8.117232
13.198636,-11.330092
13.326542,-8.92703
13.010135,-8.951882
13.624639,-11.326657
13.661768,-11.403133
12.621466,-10.759346
14.2530365,-9.516016
14.835498,10.844232
13.352031,-10.6943655
13.189275,-10.844407
14.130665,-9.206079
12.612226,-11.068306
13.682571,-11.372538
12.395926,-9.86894
13.368127,-11.0226345
13.568029,-9.144038
14.4313345,-9.9047785
13.886573,-11.300199
12.726252,-9.358711
4.6038084,8.439135
13.183637,-9.522674
12.997085,-8.725986
13.655335,-10.860977
13.741017,-10.93071
13.526874,-10.702449
13.760534,-10.957164
12.345437,-10.02681
13.603885,-10.971243
13.48412,-10.757385
12.769567,-9.611148
13.609535,-11.026451
14.855263,-9.693197
13.614396,-9.518425
13.894833,-10.349222
13.344847,-10.426894
13.241993,-10.444922
13.491791,-9.424702
13.529552,-9.79578
13.796641,-11.496782
13.405642,-11.087632
13.621624,-11.0336275
13.727054,-10.73345
13.6880245,-11.398471
12.79643,-12.096488
12.872345,-9.329765
12.980471,-8.911658
10.327073,5.8227015
13.932647,-11.235346
13.651776,-11.020436
13.240398,-10.0998
13.018592,-9.866878
13.593239,-10.458246
13.664987,-11.303243
13.146976,-10.469448
13.575857,-10.889322
13.253698,-9.862549
13.662221,-10.897506
14.114356,-10.115272
13.66066,-10.483056
4.212192,7.0621347
13.828516,-9.769937
12.656808,-10.610083
13.858876,-11.444542
13.061545,-9.94972
13.610952,-11.314887
14.335772,-9.689531
14.48738,-9.4304285
13.200838,-9.917343
12.680784,-9.131815
14.509703,-9.417087
13.212116,-9.998682
13.021056,-9.838697
12.974693,-8.730653
12.93554,-9.638727
13.26838,-9.527743
4.7310004,8.384249
13.531245,-10.871459
12.672958,-9.553249
13.433904,-10.43449
13.102147,-9.946518
13.525302,-10.967325
13.647458,-9.169655
13.713563,-11.265836
12.9259615,-9.059644
13.80608,-11.648581
12.532001,-9.905305
14.17758,-10.064313
14.461155,-9.442103
13.846601,-11.398889
14.4634495,-9.545649
13.719091,-11.651823
14.319213,-9.705888
13.625571,-11.23357
13.700935,-11.369876
13.695492,-10.964731
14.099223,-9.39138
13.635776,-9.2030325
14.274031,-9.865032
13.1105585,-8.950904
13.664997,-10.890281
12.822889,-8.983637
12.894065,-9.428624
13.596597,-10.630456
12.88213,-9.834186
13.314721,-9.131638
13.299401,-9.273934
14.067469,-10.948236
12.824635,-9.891139
14.026066,-11.881828
13.694108,-11.067201
12.746139,-8.641316
13.298805,-9.08249
12.844188,-10.308436
13.820355,-11.333171
13.314978,-9.516488
11.573549,5.6789436
6.9487653,10.874672
12.682874,-8.884274
3.5143044,9.185704
13.919919,-9.51579
14.693784,-9.610433
4.0507045,10.750737
13.731059,-9.136214
13.33065,-10.069421
12.850265,-9.150803
13.195948,-9.307419
12.506965,-9.87661
12.967684,-10.4005
13.272896,-9.942122
13.304831,-10.219317
13.0099125,-9.029814
13.104671,-10.617609
13.855896,-10.547507
-3.2876017,-4.810385
12.928514,-8.975003
13.433431,-9.136835
-4.8849535,-4.496877
12.878339,-9.0717945
13.650467,-8.933719
12.686136,-8.802658
13.600774,-9.435225
13.298295,-9.588133
12.89568,-8.93008
12.549528,-8.94357
12.925579,-9.329688
13.352261,-10.316932
12.578076,-8.939688
12.641844,-8.95086
12.714781,-9.251686
12.799877,-8.686862
12.523335,-9.2244425
13.259105,-9.812214
13.607998,-9.215548
12.542071,-9.530271
13.195571,-11.302242
13.1468115,-10.82284
13.527146,-9.360688
12.78493,-10.06776
13.734432,-9.262979
13.461111,-9.475405
12.915049,-9.742235
13.646834,-10.91957
12.354698,-9.405228
13.132918,-9.787127
12.810681,-8.821083
12.741378,-11.041717
12.734027,-8.9997425
13.555657,-10.543039
13.4334955,-10.716795
12.532995,-9.757224
13.578044,-9.228541
12.62507,-8.901902
12.7086,-8.827458
12.732067,-10.320767
12.553029,-9.71862
13.395201,-9.436446
12.642739,-9.289822
12.692567,-8.764544
12.630077,-8.994935
7.8205028,7.7464323
12.7577915,-9.126744
13.452782,-9.13884
12.507635,-9.822008
13.455893,-9.62918
13.31046,-10.224337
12.604522,-9.259052
12.537797,-8.9261265
12.710991,-8.890997
13.160744,-9.215876
12.801388,-8.92338
12.816358,-9.525567
13.695279,-9.091422
13.515323,-11.740418
13.696589,-10.7023325
13.02406,-9.534724
12.780216,-10.5738735
12.872379,-9.831776
12.9517975,-9.119393
13.142909,-10.434172
13.606789,-11.130957
13.498855,-10.8869
13.149085,-10.79455
-5.452743,-4.1195874
13.447071,-10.10197
13.160767,-10.1539955
13.05897,-9.243904
12.802978,-9.187916
14.979221,-9.7296
13.380335,-9.619922
12.913026,-9.441851
13.446677,-10.673913
13.34867,-10.319884
12.643464,-9.099006
-5.1435924,-4.6118226
14.19165,-9.371295
12.415047,-8.922819
12.687584,-8.857142
13.579294,-9.244342
13.012189,-10.309344
13.198914,-10.27608
13.720478,-9.438239
12.846256,-9.371302
13.164117,-9.671307
12.856686,-8.888331
13.903751,-10.99123
12.990734,-9.201768
14.53738,-9.558503
12.58363,-9.130599
12.6846,-8.917343
12.8404255,-9.853881
13.635621,-10.381681
12.85081,-9.557682
12.753911,-9.260388
5.6402683,10.891508
13.335292,-10.4844885
14.060914,-9.120011
13.261505,-9.02583
12.713075,-9.926795
12.407578,-9.253
13.914824,-9.546592
14.101484,-9.252443
13.48913,-9.251534
13.5732,-10.712844
14.317362,-9.537402
13.324881,-10.197192
12.878097,-9.615348
12.617055,-8.687809
13.704362,-9.057147
12.90066,-10.385652
12.676962,-9.01983
12.408861,-8.973837
14.303848,-9.474195
12.735336,-10.002375
13.512766,-9.401674
13.324387,-9.234708
12.973588,-9.771175
12.694431,-9.149012
13.462043,-9.253108
13.353739,-10.346635
12.870415,-9.506476
13.084431,-9.133423
12.704428,-9.881971
12.486175,-8.927324
13.9391,-11.784806
13.512951,-10.540989
13.434838,-11.548085
13.770116,-11.378128
14.198201,-10.842494
13.0875225,-10.513451
13.511141,-11.542105
13.470342,-11.220569
12.711294,-10.616769
13.781983,-11.686211
