data_0,data_1
-3.8665905,8.149661
5.702564,4.958659
-4.1858807,-0.4136133
-3.9911864,8.835342
-3.9388804,8.476536
-4.1414757,8.1791935
-4.849072,7.403848
-4.679325,7.197752
-4.2282453,7.977825
-3.8650172,8.256811
-3.991436,8.691933
-5.0463552,7.942207
-4.1999574,8.239237
-5.0344453,7.4016433
-3.9775832,7.697628
-4.216373,7.384823
-4.3658614,8.186284
-5.207972,8.03695
-4.3230453,7.947417
-4.6910677,7.109777
-3.7403705,7.760182
-4.125472,8.472356
-4.4431567,8.470282
-4.470644,7.9526625
-3.896616,7.7708697
-3.9568415,8.702047
-4.010934,8.3952265
-3.9425008,8.56401
-4.984392,8.198567
-3.9504907,8.558841
-4.21556,8.455695
-3.968474,8.889813
-4.2953143,7.2256837
-5.2980366,8.384288
-4.2074895,8.584088
-4.329538,7.6942086
-4.9622226,8.216418
-3.772093,8.098078
-3.6365561,7.7601695
-3.8068225,7.66895
-3.9391532,8.763483
-4.534852,7.1409426
-8.037923,1.1956114
-4.974836,7.9177895
-4.6590934,7.723857
-4.924376,8.01802
-4.9499135,7.451598
-5.175537,8.221313
-3.9759192,8.7283535
-3.961033,8.453117
-4.1965103,8.561227
-4.0501456,8.734702
-3.8489406,8.823106
-4.754118,6.9730096
-4.0341506,7.9835377
-3.899038,8.803361
-4.1999927,8.143666
-3.9408326,8.897313
-3.9844615,8.80687
-4.1898336,7.69289
-4.124428,8.007814
-5.068487,8.076722
-3.9847412,8.720194
-4.10973,8.298954
-4.873851,7.9636154
-4.0228014,8.854091
-4.577986,7.5302935
-4.664849,7.3175592
-4.088986,8.375769
-4.0633674,8.778726
-4.0125484,8.855258
-4.009515,8.003813
-4.1471024,7.625916
-8.246677,1.1773939
-4.755146,7.77262
-7.0240026,-4.1580486
-4.3318057,8.177582
-3.879337,8.976675
-4.0430274,8.773487
-4.181331,8.211739
-4.098946,8.264026
-3.781682,7.8188663
-4.270355,7.958971
-3.913961,8.771032
-3.9327726,8.902458
-3.820282,8.759074
-5.0626593,7.7954783
-3.888075,8.72279
-3.8441567,7.7446
-4.857903,7.130388
-4.0744166,8.44789
-3.822248,8.802685
-4.6111264,7.273018
-3.7717628,8.031474
-4.8420506,-1.3851175
-3.9467127,8.303153
-3.0769124,8.888133
-3.9690137,8.768401
-4.7440424,8.236698
-5.045213,7.8188224
-3.8497,8.690165
-4.5978065,7.070176
-3.902038,8.30229
-4.998586,7.2278485
4.208347,3.2480924
-4.121912,8.4019165
-5.043777,7.4039593
-4.303297,7.76151
-4.9152503,7.2804513
-5.080681,8.04935
-3.6066031,7.8265047
-4.02104,8.656436
-3.8840754,8.262479
-4.486322,8.014126
-3.849985,8.8630295
-4.442103,8.16378
-3.9404876,8.170188
-3.874469,8.201231
-4.9684486,7.990388
-4.8884625,7.3517513
-3.7484138,8.325475
-4.1181097,8.264504
-4.72925,7.202309
-3.815184,8.333338
-4.9085155,7.715904
-4.7217712,7.0327806
-3.9210343,8.553487
-3.9785051,8.669973
-3.7018676,7.8190975
-5.0891285,8.137201
-4.143003,-0.49453235
-4.110071,8.150234
-3.8938768,8.553448
-5.199055,7.990302
-3.6326609,7.801042
-3.8855565,8.899822
-4.0701985,7.425839
-4.0079474,8.301258
-4.864952,7.567308
-5.1643972,8.06085
-4.081851,8.78797
-4.3493896,7.540422
-8.027581,1.6361777
-4.2615204,7.911176
-4.775066,7.3448668
-4.3473244,8.349995
-4.2284665,8.363691
-4.2944436,8.264599
-4.0218716,8.554683
-3.8905041,7.5705647
-4.042574,8.62981
-4.120334,8.31491
-4.1811194,7.8125653
-4.361316,8.419923
-5.312075,8.415662
-4.4908366,8.168155
-5.1488094,8.01108
-4.098073,8.242019
-4.0348883,8.203935
-4.826392,7.4699078
-4.4755363,8.314017
-3.9257386,8.842954
-3.962644,8.391721
-4.1424775,8.542683
-4.407136,8.455196
-3.9839113,8.648027
-3.1654408,8.87509
-4.3884673,7.533145
-4.7064257,7.1901975
-6.567481,-3.1562014
-4.1201735,8.767188
